subjCode	subject	freq	loc
1	Claims etc.	439520	1
5	Architecture	51941	2
6	Women	46274	3
7	World War 1939-1945	38089	4
9	Jews	31142	5
10	Education	29096	6
11	Music	29077	7
12	Art	28979	8
13	Agriculture	28745	9
15	Missions	23381	10
16	World War 1914-1918	22518	11
17	Geology	22266	12
18	English language	20292	13
19	Science	20258	14
20	City planning	19543	15
21	Immigrants	19260	16
22	Indians of North America	18776	17
23	Communism	17862	18
24	Medicine	17637	19
25	African Americans	17622	20
