subjCode	subject	freq	loc
1	Claims etc.	439520	1
2	Architecture	51941	4
3	Women	46274	11
4	World War 1939-1945	38089	14
5	Jews	31142	15
6	Education	29096	6
7	Music	29077	3
8	Art	28979	2
9	Agriculture	28745	9
10	Missions	23381	12
11	World War 1914-1918	22518	13
12	Geology	22266	8
13	English language	20292	7
14	Science	20258	10
15	City planning	19543	5
16	Immigrants	19260	16
17	Indians of North America	18776	17
18	Communism	17862	18
19	Medicine	17637	19
20	African Americans	17622	20
